timestamp,rss_mb,vsz_mb,cpu_percent,threads
2026-03-12 17:25:28,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:30,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:31,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:32,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:33,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:34,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:35,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:36,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:37,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:38,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:39,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:40,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:41,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:42,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:43,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:45,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:46,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:47,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:48,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:49,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:50,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:51,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:52,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:53,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:54,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:55,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:56,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:57,80.5039,2178.07, 4.1,  30
2026-03-12 17:25:59,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:00,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:01,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:02,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:03,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:04,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:05,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:06,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:07,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:08,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:09,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:10,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:11,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:12,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:14,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:15,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:16,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:17,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:18,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:19,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:20,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:21,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:22,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:23,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:24,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:25,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:26,80.5039,2178.07, 4.1,  30
2026-03-12 17:26:28,80.5039,2178.07, 4.1,  30
